request_id,timestamp_ms,latency_ms,status_code
0,1765776022414,1285.95,200
1,1765776022416,1278.22,200
2,1765776022406,1267.05,200
3,1765776022406,1267.01,200
4,1765776022407,1266.58,200
5,1765776022402,1261.17,200
6,1765776022416,1274.25,200
7,1765776022405,1263.23,200
8,1765776022406,1263.17,200
9,1765776022423,1278.94,200
10,1765776022415,1270.65,200
11,1765776022895,1749.17,200
12,1765776022901,1754.46,200
13,1765776022414,1266.28,200
14,1765776022902,1753.26,200
15,1765776022899,1749.43,200
16,1765776022900,1749.77,200
17,1765776023402,2250.55,200
18,1765776022415,1262.89,200
19,1765776022415,1262.52,200
20,1765776023661,1256.45,200
21,1765776023660,1252.79,200
22,1765776023663,1253.4,200
23,1765776023678,1267.45,200
24,1765776023658,1246.4,200
25,1765776023662,1249.51,200
26,1765776023663,1246.53,200
27,1765776023672,1253.87,200
28,1765776024158,1739.45,200
29,1765776024159,1739.5,200
30,1765776023672,1251.35,200
31,1765776023672,1251.3,200
32,1765776023662,1240.25,200
33,1765776023673,1249.36,200
34,1765776024124,1227.39,200
35,1765776024128,1226.52,200
36,1765776024129,1225.93,200
37,1765776024128,1223.95,200
38,1765776024129,1223.2,200
39,1765776024639,1237.41,200
40,1765776024931,1270.72,200
41,1765776024919,1255.88,200
42,1765776024914,1249.57,200
43,1765776024932,1266.62,200
44,1765776024931,1264.02,200
45,1765776024920,1250.99,200
46,1765776024938,1268.22,200
47,1765776024923,1249.71,200
48,1765776024922,1246.75,200
49,1765776024921,1244.68,200
50,1765776024931,1253.8,200
51,1765776024931,1252.03,200
52,1765776025357,1231.09,200
53,1765776025351,1221.72,200
54,1765776025356,1225.78,200
55,1765776025357,1226.07,200
56,1765776025361,1229.85,200
57,1765776025385,1226.13,200
58,1765776025386,1225.61,200
59,1765776025857,1217.93,200
60,1765776026164,1247.12,200
61,1765776026170,1245.84,200
62,1765776026166,1239.67,200
63,1765776026161,1233.32,200
64,1765776026169,1240.58,200
65,1765776026170,1240.46,200
66,1765776026166,1234.14,200
67,1765776026678,1744.21,200
68,1765776026170,1234.85,200
69,1765776026675,1738.92,200
70,1765776026675,1737.41,200
71,1765776026166,1227.73,200
72,1765776026572,1218.64,200
73,1765776026578,1220.64,200
74,1765776026581,1222.18,200
75,1765776026580,1220.37,200
76,1765776026581,1219.5,200
77,1765776026602,1217.11,200
78,1765776026606,1219.66,200
79,1765776027081,1224.04,200
80,1765776027413,1250.2,200
81,1765776027402,1237.27,200
82,1765776027402,1235.64,200
83,1765776027407,1238.89,200
84,1765776027407,1238.69,200
85,1765776027401,1230.9,200
86,1765776027402,1230.19,200
87,1765776027406,1233.97,200
88,1765776027407,1233.82,200
89,1765776027824,1250.92,200
90,1765776027815,1236.21,200
91,1765776027819,1238.31,200
92,1765776027823,1241.27,200
93,1765776027824,1240.83,200
94,1765776027831,1228.01,200
95,1765776027832,1225.32,200
96,1765776027916,1240.57,200
97,1765776027910,1232.7,200
98,1765776027915,1236.35,200
99,1765776028298,1216.62,200
100,1765776028666,1262.73,200
101,1765776028666,1262.25,200
102,1765776028651,1246.17,200
103,1765776028657,1251.82,200
104,1765776028665,1257.8,200
105,1765776028659,1250.19,200
106,1765776028658,1247.98,200
107,1765776028656,1244.57,200
108,1765776029154,1740.89,200
109,1765776029080,1262.83,200
110,1765776029072,1251.84,200
111,1765776029068,1244.2,200
112,1765776029071,1244.83,200
113,1765776029070,1243.26,200
114,1765776029070,1238.7,200
115,1765776029068,1234.74,200
116,1765776029142,1230.49,200
117,1765776029147,1231.07,200
118,1765776029147,1227.59,200
119,1765776029518,1219.89,200
120,1765776029913,1259.97,200
121,1765776029909,1248.84,200
122,1765776029905,1243.5,200
123,1765776029909,1246.14,200
124,1765776029906,1241.84,200
125,1765776029916,1249.41,200
126,1765776029916,1247.81,200
127,1765776029909,1240.55,200
128,1765776030316,1247.35,200
129,1765776030323,1252.04,200
130,1765776030316,1244.03,200
131,1765776030313,1239.39,200
132,1765776030320,1242.81,200
133,1765776030316,1238.34,200
134,1765776030322,1241.52,200
135,1765776030380,1236.12,200
136,1765776030374,1226.41,200
137,1765776030378,1229.62,200
138,1765776030377,1222.67,200
139,1765776030738,1219.95,200
140,1765776031147,1240.08,200
141,1765776031147,1239.67,200
142,1765776031142,1231.8,200
143,1765776031146,1234.04,200
144,1765776031146,1233.71,200
145,1765776031146,1232.87,200
146,1765776031653,1736.9,200
147,1765776031653,1736.21,200
148,1765776031544,1229.47,200
149,1765776031559,1241.42,200
150,1765776031558,1240.0,200
151,1765776031555,1236.43,200
152,1765776031559,1238.72,200
153,1765776031563,1239.66,200
154,1765776031563,1236.21,200
155,1765776031608,1232.9,200
156,1765776031608,1229.78,200
157,1765776031606,1227.26,200
158,1765776031609,1228.42,200
159,1765776031951,1213.16,200
160,1765776032374,1230.63,200
161,1765776032378,1230.3,200
162,1765776032375,1226.33,200
163,1765776032378,1228.91,200
164,1765776032371,1220.62,200
165,1765776032377,1226.47,200
166,1765776032765,1220.13,200
167,1765776032788,1231.15,200
168,1765776032793,1233.4,200
169,1765776032793,1232.7,200
170,1765776032792,1230.86,200
171,1765776032794,1230.67,200
172,1765776032794,1229.06,200
173,1765776032835,1228.25,200
174,1765776032837,1228.35,200
175,1765776032835,1224.82,200
176,1765776032837,1225.78,200
177,1765776032866,1212.6,200
178,1765776032865,1210.51,200
179,1765776033166,1214.88,200
180,1765776033610,1238.0,200
181,1765776033609,1233.97,200
182,1765776033610,1233.52,200
183,1765776033616,1237.69,200
184,1765776033620,1240.26,200
185,1765776033616,1234.95,200
186,1765776033988,1223.06,200
187,1765776034033,1242.66,200
188,1765776034031,1237.08,200
189,1765776034038,1243.53,200
190,1765776034032,1236.38,200
191,1765776034030,1233.53,200
192,1765776034030,1232.35,200
193,1765776034057,1222.31,200
194,1765776034053,1216.9,200
195,1765776034055,1217.99,200
196,1765776034055,1216.76,200
197,1765776034085,1220.57,200
198,1765776034087,1221.02,200
199,1765776034385,1218.93,200
200,1765776034849,1238.06,200
201,1765776034850,1237.21,200
202,1765776034849,1235.55,200
203,1765776034854,1237.13,200
204,1765776034844,1225.65,200
205,1765776034854,1233.71,200
206,1765776035203,1215.1,200
207,1765776035259,1228.41,200
208,1765776035268,1235.63,200
209,1765776035265,1231.39,200
210,1765776035260,1225.38,200
211,1765776035265,1229.89,200
212,1765776035262,1223.48,200
213,1765776035273,1219.65,200
214,1765776035274,1217.99,200
215,1765776035273,1216.49,200
216,1765776035274,1216.22,200
217,1765776035302,1216.02,200
218,1765776035302,1214.98,200
219,1765776035601,1216.23,200
220,1765776036084,1238.17,200
221,1765776036078,1227.73,200
222,1765776036084,1232.47,200
223,1765776036084,1231.83,200
224,1765776036088,1233.78,200
225,1765776036085,1229.03,200
226,1765776036418,1215.31,200
227,1765776036503,1242.12,200
228,1765776036502,1240.68,200
229,1765776036496,1233.38,200
230,1765776036504,1238.18,200
231,1765776036496,1229.34,200
232,1765776036503,1234.99,200
233,1765776036513,1239.42,200
234,1765776036509,1234.0,200
235,1765776036509,1233.62,200
236,1765776036508,1232.26,200
237,1765776036519,1217.31,200
238,1765776036519,1215.99,200
239,1765776036816,1214.81,200
240,1765776037315,1234.13,200
241,1765776037310,1225.61,200
242,1765776037314,1228.88,200
243,1765776037316,1229.18,200
244,1765776037315,1227.79,200
245,1765776037314,1225.02,200
246,1765776037635,1216.75,200
247,1765776037741,1242.18,200
248,1765776037732,1233.1,200
249,1765776037741,1237.27,200
250,1765776037747,1241.06,200
251,1765776037746,1239.93,200
252,1765776037741,1234.05,200
253,1765776037754,1244.18,200
254,1765776037740,1229.32,200
255,1765776037747,1235.0,200
256,1765776037747,1232.92,200
257,1765776037754,1234.69,200
258,1765776037754,1234.05,200
259,1765776038035,1219.15,200
260,1765776038551,1239.86,200
261,1765776038548,1231.99,200
262,1765776038556,1238.73,200
263,1765776038551,1232.86,200
264,1765776038552,1232.22,200
265,1765776038552,1231.75,200
266,1765776038854,1218.56,200
267,1765776038991,1254.39,200
268,1765776038991,1248.35,200
269,1765776038999,1255.69,200
270,1765776038991,1247.04,200
271,1765776038984,1239.23,200
272,1765776038991,1242.85,200
273,1765776038992,1241.99,200
274,1765776038999,1248.16,200
275,1765776038988,1236.78,200
276,1765776039490,1735.2,200
277,1765776038998,1241.95,200
278,1765776039492,1735.11,200
279,1765776039254,1219.23,200
280,1765776039780,1230.7,200
281,1765776039781,1229.15,200
282,1765776039779,1226.32,200
283,1765776039783,1228.63,200
284,1765776039782,1227.55,200
285,1765776039790,1234.02,200
286,1765776040067,1213.63,200
287,1765776040218,1231.14,200
288,1765776040233,1243.37,200
289,1765776040233,1241.54,200
290,1765776040233,1240.16,200
291,1765776040236,1241.58,200
292,1765776040237,1240.96,200
293,1765776040238,1240.74,200
294,1765776040237,1237.33,200
295,1765776040237,1235.94,200
296,1765776040238,1235.78,200
297,1765776040470,1215.18,200
298,1765776040704,1213.47,200
299,1765776040708,1215.12,200
300,1765776041012,1231.73,200
301,1765776041018,1236.48,200
302,1765776041017,1234.27,200
303,1765776041017,1232.07,200
304,1765776041021,1233.12,200
305,1765776041015,1224.6,200
306,1765776041285,1218.12,200
307,1765776041451,1232.73,200
