request_id,timestamp_ms,latency_ms,status_code
0,1765783325810,27.73,200
5,1765783325810,25.35,200
3,1765783325813,29.77,200
1,1765783325813,30.56,200
7,1765783325814,27.06,200
8,1765783325814,26.04,200
2,1765783325814,31.15,200
4,1765783325814,30.51,200
6,1765783325815,28.97,200
11,1765783325816,20.07,200
12,1765783325818,21.26,200
9,1765783325819,27.06,200
14,1765783325820,20.35,200
10,1765783325821,27.79,200
13,1765783325822,23.76,200
15,1765783325826,24.54,200
16,1765783325826,23.78,200
17,1765783325828,24.11,200
18,1765783325830,24.67,200
20,1765783325834,23.55,200
24,1765783325834,20.48,200
19,1765783325835,27.47,200
28,1765783325836,21.1,200
21,1765783325836,25.43,200
25,1765783325836,21.77,200
26,1765783325838,24.1,200
27,1765783325839,24.94,200
23,1765783325839,26.12,200
31,1765783325840,20.62,200
22,1765783325840,26.64,200
30,1765783325842,23.97,200
34,1765783325843,20.17,200
33,1765783325843,21.89,200
29,1765783325844,28.04,200
35,1765783325844,18.29,200
32,1765783325845,24.42,200
38,1765783325846,16.21,200
37,1765783325847,18.42,200
39,1765783325854,20.63,200
40,1765783325856,21.37,200
41,1765783325857,21.91,200
43,1765783325859,23.37,200
44,1765783325859,23.42,200
42,1765783325861,24.95,200
45,1765783325862,23.38,200
53,1765783325865,21.28,200
50,1765783325866,23.37,200
49,1765783325867,26.93,200
46,1765783325867,27.88,200
48,1765783325867,27.53,200
47,1765783325867,27.94,200
36,1765783325868,42.08,200
54,1765783325869,24.93,200
52,1765783325869,26.34,200
51,1765783325870,27.33,200
56,1765783325870,24.26,200
58,1765783325873,18.95,200
57,1765783325874,27.64,200
59,1765783325875,19.46,200
61,1765783325876,17.21,200
63,1765783325877,16.1,200
60,1765783325877,19.95,200
62,1765783325877,17.74,200
64,1765783325879,16.68,200
65,1765783325884,18.24,200
68,1765783325891,23.34,200
70,1765783325893,25.44,200
72,1765783325893,23.88,200
66,1765783325893,27.34,200
73,1765783325895,25.14,200
74,1765783325895,24.8,200
67,1765783325895,28.38,200
71,1765783325895,27.14,200
69,1765783325896,28.37,200
78,1765783325897,22.12,200
81,1765783325899,22.05,200
75,1765783325899,28.77,200
79,1765783325899,23.05,200
80,1765783325901,24.02,200
77,1765783325901,26.65,200
82,1765783325903,26.04,200
76,1765783325904,30.32,200
85,1765783325907,16.27,200
88,1765783325911,17.82,200
86,1765783325914,21.41,200
87,1765783325915,22.29,200
93,1765783325921,24.85,200
89,1765783325921,26.36,200
90,1765783325921,26.38,200
98,1765783325923,22.08,200
92,1765783325923,27.67,200
91,1765783325923,28.1,200
96,1765783325924,24.49,200
94,1765783325925,27.56,200
95,1765783325925,26.01,200
100,1765783325928,24.6,200
101,1765783325929,25.39,200
97,1765783325931,31.73,200
104,1765783325932,18.0,200
99,1765783325933,31.91,200
103,1765783325933,22.09,200
105,1765783325935,19.23,200
108,1765783325950,28.4,200
110,1765783325950,26.79,200
106,1765783325951,30.47,200
109,1765783325951,28.39,200
107,1765783325953,32.33,200
112,1765783325953,29.94,200
111,1765783325954,30.16,200
113,1765783325956,31.63,200
118,1765783325958,25.16,200
115,1765783325958,29.99,200
120,1765783325959,26.01,200
114,1765783325960,34.65,200
119,1765783325962,28.67,200
116,1765783325962,32.62,200
122,1765783325964,14.14,200
125,1765783325966,14.62,200
123,1765783325966,16.15,200
124,1765783325969,18.33,200
126,1765783325972,18.27,200
127,1765783325973,19.21,200
128,1765783325975,20.94,200
129,1765783325975,18.86,200
132,1765783325977,18.04,200
130,1765783325978,20.79,200
131,1765783325979,21.5,200
133,1765783325981,21.08,200
135,1765783325981,19.31,200
134,1765783325983,21.31,200
136,1765783325986,21.9,200
138,1765783325987,20.66,200
137,1765783325987,21.24,200
139,1765783325990,20.67,200
141,1765783325992,19.52,200
140,1765783325993,21.37,200
142,1765783325994,19.28,200
143,1765783325996,20.2,200
145,1765783325997,18.08,200
144,1765783325997,19.37,200
147,1765783325999,18.11,200
148,1765783326000,19.13,200
149,1765783326001,17.84,200
150,1765783326004,18.36,200
151,1765783326004,17.43,200
152,1765783326008,20.6,200
146,1765783326008,28.75,200
154,1765783326010,17.74,200
153,1765783326011,20.47,200
155,1765783326012,18.55,200
156,1765783326013,18.94,200
159,1765783326014,17.77,200
157,1765783326015,19.55,200
158,1765783326018,21.56,200
160,1765783326019,19.88,200
162,1765783326023,21.95,200
161,1765783326023,22.77,200
163,1765783326025,20.81,200
164,1765783326027,23.19,200
166,1765783326028,19.5,200
167,1765783326030,19.41,200
165,1765783326030,21.93,200
168,1765783326031,20.19,200
169,1765783326033,21.61,200
170,1765783326035,22.12,200
171,1765783326037,22.51,200
172,1765783326039,23.52,200
173,1765783326042,24.22,200
174,1765783326043,24.39,200
175,1765783326046,23.31,200
176,1765783326048,24.92,200
177,1765783326048,23.05,200
179,1765783326050,22.28,200
178,1765783326052,24.16,200
181,1765783326057,27.07,200
180,1765783326058,28.08,200
182,1765783326059,28.4,200
183,1765783326061,27.2,200
186,1765783326062,23.37,200
187,1765783326065,22.81,200
188,1765783326066,22.69,200
189,1765783326068,21.38,200
191,1765783326069,21.32,200
190,1765783326071,23.52,200
185,1765783326072,34.76,200
193,1765783326073,21.78,200
195,1765783326075,17.71,200
194,1765783326076,18.66,200
197,1765783326079,18.57,200
196,1765783326079,19.92,200
199,1765783326082,16.81,200
201,1765783326083,15.23,200
198,1765783326089,26.66,200
192,1765783326089,39.14,200
203,1765783326091,19.77,200
205,1765783326095,21.52,200
202,1765783326096,26.49,200
204,1765783326096,24.26,200
200,1765783326098,31.93,200
207,1765783326098,22.39,200
206,1765783326099,23.99,200
209,1765783326106,26.17,200
210,1765783326106,24.02,200
208,1765783326107,27.35,200
211,1765783326108,25.54,200
212,1765783326109,19.75,200
213,1765783326111,21.71,200
214,1765783326113,21.55,200
215,1765783326113,17.92,200
216,1765783326116,20.07,200
217,1765783326118,21.61,200
219,1765783326119,20.51,200
218,1765783326120,22.12,200
224,1765783326139,30.96,200
223,1765783326140,33.03,200
220,1765783326142,42.37,200
230,1765783326143,25.25,200
232,1765783326144,24.28,200
226,1765783326145,33.72,200
222,1765783326145,38.59,200
221,1765783326145,39.52,200
225,1765783326146,37.34,200
228,1765783326149,36.08,200
227,1765783326149,36.34,200
229,1765783326149,33.32,200
231,1765783326153,34.03,200
233,1765783326162,22.52,200
235,1765783326163,20.63,200
234,1765783326164,24.0,200
236,1765783326167,23.61,200
240,1765783326176,30.7,200
238,1765783326176,31.58,200
239,1765783326176,31.43,200
241,1765783326176,30.38,200
237,1765783326179,34.25,200
243,1765783326179,29.6,200
244,1765783326180,30.34,200
245,1765783326182,28.91,200
242,1765783326182,33.02,200
246,1765783326185,23.09,200
247,1765783326188,25.52,200
248,1765783326189,25.55,200
253,1765783326196,19.63,200
250,1765783326196,20.34,200
251,1765783326199,22.82,200
252,1765783326200,23.78,200
254,1765783326203,24.49,200
249,1765783326203,36.68,200
255,1765783326208,28.82,200
256,1765783326208,28.68,200
258,1765783326210,27.97,200
257,1765783326210,28.58,200
260,1765783326214,25.71,200
261,1765783326214,24.71,200
263,1765783326216,19.65,200
264,1765783326222,22.83,200
262,1765783326224,28.34,200
266,1765783326225,22.21,200
265,1765783326226,25.57,200
267,1765783326229,25.21,200
268,1765783326232,24.51,200
269,1765783326234,25.18,200
271,1765783326236,26.06,200
270,1765783326237,26.38,200
272,1765783326242,27.91,200
273,1765783326244,30.11,200
274,1765783326246,30.52,200
275,1765783326247,25.42,200
276,1765783326249,24.83,200
277,1765783326255,29.73,200
278,1765783326256,30.2,200
279,1765783326261,32.04,200
280,1765783326261,28.47,200
283,1765783326266,29.09,200
281,1765783326267,32.92,200
285,1765783326272,27.49,200
284,1765783326272,29.93,200
286,1765783326278,31.38,200
282,1765783326279,42.75,200
288,1765783326279,29.84,200
289,1765783326284,28.25,200
290,1765783326284,27.77,200
291,1765783326287,26.26,200
292,1765783326291,29.77,200
293,1765783326292,26.31,200
294,1765783326295,27.81,200
296,1765783326295,22.87,200
295,1765783326298,26.75,200
297,1765783326299,20.91,200
298,1765783326304,25.09,200
299,1765783326304,25.08,200
301,1765783326306,21.94,200
302,1765783326310,23.46,200
300,1765783326312,28.31,200
304,1765783326315,23.31,200
306,1765783326318,23.42,200
305,1765783326319,24.01,200
307,1765783326319,20.57,200
303,1765783326324,33.86,200
308,1765783326325,25.8,200
309,1765783326333,28.81,200
311,1765783326333,27.47,200
310,1765783326333,28.92,200
313,1765783326340,27.73,200
312,1765783326340,29.6,200
314,1765783326346,30.64,200
315,1765783326347,28.88,200
317,1765783326347,28.26,200
316,1765783326348,28.99,200
319,1765783326350,25.5,200
318,1765783326352,27.46,200
322,1765783326354,20.78,200
320,1765783326360,26.65,200
321,1765783326360,26.7,200
324,1765783326361,21.25,200
323,1765783326366,26.46,200
325,1765783326369,22.51,200
327,1765783326371,23.71,200
326,1765783326371,24.24,200
328,1765783326375,27.63,200
329,1765783326377,27.21,200
330,1765783326380,28.14,200
331,1765783326380,26.19,200
332,1765783326384,24.66,200
55,1765783326389,544.84,200
334,1765783326390,28.16,200
335,1765783326392,25.96,200
333,1765783326396,36.49,200
336,1765783326397,27.93,200
338,1765783326401,29.74,200
337,1765783326403,31.93,200
340,1765783326405,27.48,200
342,1765783326410,30.06,200
341,1765783326413,33.08,200
343,1765783326414,29.86,200
339,1765783326415,39.29,200
344,1765783326417,27.39,200
345,1765783326421,31.27,200
346,1765783326424,32.09,200
84,1765783326425,540.94,200
83,1765783326429,550.52,200
347,1765783326433,36.88,200
348,1765783326433,36.89,200
351,1765783326437,32.27,200
352,1765783326438,27.32,200
102,1765783326441,534.15,200
353,1765783326445,32.12,200
354,1765783326446,31.54,200
357,1765783326449,27.98,200
356,1765783326449,32.09,200
358,1765783326457,32.17,200
360,1765783326460,30.91,200
